name,team,age,gp,g,fgfreq,fgm,fga,fgp,efgp,2fgfreq,2fgm,2fga,2fgp,3pfreq,3pm,3pa,3pp
Doug McDermott,DAL ,26,70,50,100%,46,90,51.1,61.1,52.20%,28,47,59.6,47.80%,18,43,41.9
Devin Harris,DEN ,35,69,48,100%,34,90,37.8,44.4,48.90%,22,44,50,51.10%,12,46,26.1
David Nwaba,CHI ,25,57,42,100%,43,88,48.9,51.7,87.50%,38,77,49.4,12.50%,5,11,45.5
Frank Ntilikina,NYK ,19,75,52,100%,33,88,37.5,42.6,62.50%,24,55,43.6,37.50%,9,33,27.3
Alex Len,PHX ,24,69,50,100%,50,87,57.5,57.5,100%,50,87,57.5,0.00%,0,0,-
Trevor Booker,IND ,30,65,47,100%,49,87,56.3,57.5,88.50%,47,77,61,11.50%,2,10,20
Gerald Green,HOU ,32,36,34,100%,37,87,42.5,56.3,28.70%,13,25,52,71.30%,24,62,38.7
Tomas Satoransky,WAS ,26,64,42,100%,53,86,61.6,68,76.70%,42,66,63.6,23.30%,11,20,55
Bam Adebayo,MIA ,20,57,40,100%,44,86,51.2,51.2,97.70%,44,84,52.4,2.30%,0,2,0
Andrew Harrison,MEM ,23,51,47,100%,40,86,46.5,54.1,62.80%,27,54,50,37.20%,13,32,40.6
Tyler Zeller,MIL ,28,55,41,100%,52,85,61.2,63.5,87.10%,48,74,64.9,12.90%,4,11,36.4
Greg Monroe,BOS ,27,47,39,100%,51,85,60,60,100%,51,85,60,0.00%,0,0,-
Kosta Koufos,SAC ,29,70,44,100%,50,84,59.5,59.5,100%,50,84,59.5,0.00%,0,0,-
Kyle O'Quinn,NYK ,28,68,46,100%,46,84,54.8,54.8,97.60%,46,82,56.1,2.40%,0,2,0
Jonas Jerebko,UTA ,31,69,49,100%,40,84,47.6,56.5,56.00%,25,47,53.2,44.00%,15,37,40.5
